PROVINCIA;DESPROVINCIA;MODELO;DESMODELO;CLASE;DESCLASE;CAP_ASIENTOS;DESCAP_ASIENTOS;CAP_TONELAJE;DESCAP_TONELAJE;COMBUSTIBLE;DESCOMBUSTIBLE;SERVICIO;DESERVICIO;MARCA;DESMARCA
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;19;HINO
17;PICHINCHA;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;14;FORD
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;24;ISUZU
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;24;ISUZU
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;3;ESTADO;69;OTRAS MARCAS
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;40;MERCEDES BENZ
23;SANTO DOMINGO DE LOS TSÁCHILAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;17;GMC
12;LOS RIOS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2006;2006;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
3;CAÑAR;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;1;PARTICULAR;14;FORD
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;5;COLECTIVO;5;41 Y MAS;1;1/4 A 3;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2006;2006;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2006;2006;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2009;2009;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2010;2010;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2012;2012;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;1;PARTICULAR;69;OTRAS MARCAS
9;GUAYAS;2004;2004;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2009;2009;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2009;2009;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2008;2008;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2007;2007;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2008;2008;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2005;2005;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2010;2010;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2008;2008;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2008;2008;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
17;PICHINCHA;2012;2012;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2009;2009;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2012;2012;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2012;2012;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
9;GUAYAS;2012;2012;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2012;2012;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;3;ESTADO;66;VOLKSWAGEN
9;GUAYAS;2009;2009;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2009;2009;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2008;2008;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;19;HINO
9;GUAYAS;2005;2005;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
9;GUAYAS;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;1;PARTICULAR;40;MERCEDES BENZ
9;GUAYAS;2012;2012;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;69;OTRAS MARCAS
13;MANABÍ;2005;2005;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;5;CHEVROLET
13;MANABÍ;2002;2002 Y ANTERIOR;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
13;MANABÍ;2005;2005;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;40;MERCEDES BENZ
13;MANABÍ;2005;2005;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;66;VOLKSWAGEN
13;MANABÍ;2008;2008;2;BUS;5;41 Y MAS;2;3 1/4 A 6;3;DIESEL;2;ALQUILER;66;VOLKSWAGEN
